答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意，你不必说具体哪个，请告诉我您满意的主体数量（0-3）即可：钟南山院士官方媒体自媒体,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-3）即可：南方周末环球时报钟南山院士,Q13_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q13_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q13_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q13_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q13_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q14_请问你对上述视频有什么看法：,Q15_请问你对你平时上的思想政治课有什么看法：,Q16_你所在学校组织网课的最常见形式是什么？,Q16_你所在学校组织网课的最常见形式是什么？_开放选项,Q17_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q18_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q21_你上思想政治课的班级规模：,Q22_你对中央政府的工作有多满意？,Q23_你相信国务院新闻发布会发布的信息么？,Q24_你相信纽约时报发布的信息么？,Q25_你对老师在线授课的适应程度如何？,Q26_你对自己在线自主学习的适应程度如何？,Q27_你对学校组织的在线学习，有什么建议？
1737,49.93.211.0,,,,,,,,,2021-07-04 10:44:53,2021-07-04 10:48:31,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,3,3,3,6,4,4,7,7,7,7,7,7,7,没有,没有,3,,24,24,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,5,5,5,没有
1738,223.104.158.71,,,,,,,,,2021-07-04 10:43:35,2021-07-04 10:48:59,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,6.0,6.0,1,3,2,3,3,3,6,4,4,7,7,7,7,7,7,7,无,无,4,,七,七,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,无
1739,39.144.151.122,,,,,,,,,2021-07-04 10:44:09,2021-07-04 10:50:21,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,3,7,3,3,7,7,7,7,7,7,7,无,无,8,,40,30,5,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,7,7,6,6,6,无
1740,49.93.146.14,,,,,,,,,2021-07-04 10:48:01,2021-07-04 10:52:10,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,4,1,3,3,3,5,5,5,5,5,5,5,没有看法,没有看法,4,,18,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,无
1741,39.144.151.93,,,,,,,,,2021-07-04 10:48:24,2021-07-04 10:52:55,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,7.0,1,1,2,3,1,3,6,3,3,6,6,6,6,6,6,6,无,无,3,,36,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,6,6,6,无
1742,39.144.151.72,,,,,,,,,2021-07-04 10:47:34,2021-07-04 10:53:30,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,8.0,9.0,1,3,2,1,2,4,7,4,4,7,7,7,7,7,7,7,非常好,有趣，容易学,4,,23,20,6,6,6,6,6,6,5,7,7,7,7,7,7,7,7,7,6,6,6,5,7,7,6,6,6,挺好的
1743,223.99.220.207,,,,,,,,,2021-07-04 10:50:57,2021-07-04 10:53:57,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,6.0,6.0,5.0,2,2,2,1,3,2,2,3,3,5,6,5,6,5,5,5,很不错,官方太强,8,,0,0,5,5,5,4,4,3,5,5,5,6,5,5,5,5,4,6,5,5,5,4,6,7,6,5,5,无
1744,39.144.151.89,,,,,,,,,2021-07-04 10:49:02,2021-07-04 10:54:19,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,4,7,4,4,7,7,7,7,7,7,7,很好,没有,5,,26,24,7,7,7,7,7,5,5,7,3,7,7,7,7,7,7,7,7,7,7,6,7,7,5,7,7,无
1745,49.93.211.39,,,,,,,,,2021-07-04 10:49:23,2021-07-04 10:54:38,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,1,7,4,3,7,7,7,7,7,7,7,很棒,很棒,4,,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,很棒
1746,223.104.158.119,,,,,,,,,2021-07-04 10:46:51,2021-07-04 10:55:23,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,3.0,5.0,1,1,2,1,1,3,3,3,2,6,7,7,5,6,5,5,无,无,3,,不知道,不知道,3,3,4,3,7,5,5,6,7,7,7,5,4,6,7,3,3,4,5,5,7,7,3,6,5,无
1747,49.93.116.49,,,,,,,,,2021-07-04 10:50:25,2021-07-04 10:55:26,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,4,6,4,4,6,7,7,7,7,6,6,很好,很好,7,,8,1,6,6,6,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,无
1748,114.102.205.201,,,,,,,,,2021-07-04 10:52:06,2021-07-04 10:55:52,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,5.0,5.0,1,1,2,1,4,4,3,4,4,6,6,6,5,6,6,6,还好,挺好的,7,,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,还好，没什么意见
1749,223.104.148.249,,,,,,,,,2021-07-04 10:51:35,2021-07-04 10:56:17,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,1,3,4,4,6,7,7,6,7,7,6,不错,还行,5,,20,2,6,6,6,5,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,7,7,无
1750,49.93.76.201,,,,,,,,,2021-07-04 10:52:30,2021-07-04 10:56:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,7.0,10.0,1,1,2,1,3,4,3,4,4,7,7,7,7,7,7,7,无,无,4,,3,3,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,6,5,5,7,7,5,5,5,无
1751,223.104.158.1,,,,,,,,,2021-07-04 10:52:54,2021-07-04 10:58:19,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,2,3,2,4,5,7,7,7,7,7,7,无,挺好,4,,6,6,7,7,7,7,5,5,6,5,7,7,7,5,5,5,5,5,5,5,5,4,7,7,5,5,5,无
1752,49.93.149.51,,,,,,,,,2021-07-04 10:54:12,2021-07-04 11:01:25,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,2.0,8.0,3,1,2,1,2,4,3,3,4,7,7,7,7,7,7,7,挺好的,我觉得老师讲的特别好,3,,6,6,6,5,5,5,6,5,6,7,7,7,7,5,6,6,6,6,6,6,6,4,6,7,6,6,6,无
1753,223.104.158.120,,,,,,,,,2021-07-04 10:56:06,2021-07-04 11:01:41,Unknown Browser,iPhone iOS 14.7,1,,,,,,,5.0,5.0,6.0,3,1,1,1,1,1,2,3,4,6,6,7,7,6,6,5,好,挺好,3,,48,14,5,5,6,6,6,6,7,5,5,6,6,6,6,6,6,6,6,6,6,4,7,7,6,7,6,多组织
1754,49.93.204.67,,,,,,,,,2021-07-04 10:48:16,2021-07-04 11:02:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,3,1,2,1,3,4,7,1,2,7,7,7,5,7,7,7,没有共产党就没有新中国,我们应该努力学习，为社会主义现代建设贡献一份力量！,5,,1,0,7,5,7,5,7,7,5,5,5,5,7,5,7,7,7,7,7,7,7,5,7,7,5,6,6,建议老师可以答疑
1755,223.104.158.42,,,,,,,,,2021-07-04 10:57:50,2021-07-04 11:02:10,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,6.0,5.0,1,1,2,1,1,1,3,3,3,6,7,7,7,6,6,6,无,无,4,,4,4,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,7,7,5,6,6,无
1756,49.93.113.18,,,,,,,,,2021-07-04 10:58:40,2021-07-04 11:03:27,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,5.0,4.0,1,1,3,1,3,4,7,4,4,7,7,7,7,7,7,7,好，有利于民众思想道德建设,有利于民众思想道德建设,4,,4,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,继续完善
1757,49.78.166.1,,,,,,,,,2021-07-04 10:53:21,2021-07-04 11:04:58,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,7.0,9.0,1,1,2,1,2,4,6,3,4,7,7,7,5,7,7,7,非常好 ,比较喜欢 ,4,,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,5,6,6,无
1758,49.93.18.103,,,,,,,,,2021-07-04 11:06:10,2021-07-04 11:11:29,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,2,4,3,2,7,4,4,7,7,7,5,7,7,7,蛮好的,可以提高学生的思想觉悟，坚持党的领导,4,,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,3,7,7,无
1759,223.104.158.110,,,,,,,,,2021-07-04 11:09:07,2021-07-04 11:13:01,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,6.0,6.0,7.0,3,1,2,3,3,4,6,3,4,6,6,7,6,7,6,5,无,无,4,,6,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,无
1760,223.104.148.242,,,,,,,,,2021-07-04 11:14:06,2021-07-04 11:17:19,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,3,1,2,1,2,2,6,3,2,5,7,6,7,7,6,5,无,无,4,,6,3,5,5,5,5,5,5,6,5,5,7,6,6,6,6,6,6,5,5,5,5,7,7,5,5,5,无
1761,39.144.151.36,,,,,,,,,2021-07-04 11:30:25,2021-07-04 11:33:46,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,7.0,1,1,2,1,4,4,3,3,2,5,5,6,5,6,6,6,挺好的，很好的反应了当代社会,能多看一些视频就好了,3,,40,4,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,7,6,6,5,无
1762,122.96.32.56,,,,,,,,,2021-07-04 11:35:17,2021-07-04 11:39:07,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,6.0,6.0,3,1,3,1,3,1,3,2,3,5,5,5,5,5,5,5,无,无,3,,3,3,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,6,6,4,无
1763,223.104.158.50,,,,,,,,,2021-07-04 11:43:26,2021-07-04 11:46:32,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,5.0,5.0,1,1,2,1,3,4,3,4,4,7,7,7,7,7,7,7,挺好,没什么,4,,⑤,一,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,5,5,5,无
1764,122.96.32.127,,,,,,,,,2021-07-04 11:52:39,2021-07-04 11:56:28,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,6.0,8.0,1,1,2,1,4,1,3,3,2,6,6,7,5,6,6,7,无,无,3,,4,4,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,4,7,7,5,5,5,无
1765,122.96.33.48,,,,,,,,,2021-07-04 11:53:23,2021-07-04 11:56:39,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,8.0,9.0,1,1,2,1,2,2,3,3,4,6,7,7,7,7,7,6,无,无,4,,30,40,5,5,5,5,5,5,5,5,5,7,7,7,6,6,6,6,6,6,6,5,7,7,5,6,6,无
1766,39.144.151.116,,,,,,,,,2021-07-04 11:53:58,2021-07-04 11:56:52,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,7.0,9.0,1,1,2,1,3,3,7,4,3,3,7,7,7,7,7,7,没有,没有,5,,30,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,4,6,7,3,6,5,没有
1767,39.144.151.102,,,,,,,,,2021-07-04 11:56:43,2021-07-04 12:00:28,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,1,3,1,3,5,6,6,5,6,5,6,无,好,4,,0,6,5,5,5,5,4,5,5,5,6,4,5,5,6,6,6,5,5,4,4,5,6,7,5,6,5,无
1768,223.104.158.121,,,,,,,,,2021-07-04 12:01:01,2021-07-04 12:03:12,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,10.0,10.0,1,1,1,1,2,1,7,4,4,7,7,7,7,7,7,7,无,无,7,,40,100,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
1769,49.93.72.33,,,,,,,,,2021-07-04 11:57:30,2021-07-04 12:04:11,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,6.0,8.0,1,3,3,3,3,3,3,3,3,7,7,7,7,6,7,7,很好,很好,7,,5,4,5,5,6,5,5,5,7,6,7,7,7,5,6,6,6,6,6,6,6,5,7,7,6,6,6,无
1770,223.104.158.34,,,,,,,,,2021-07-04 12:00:09,2021-07-04 12:04:57,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,2,1,2,4,7,4,4,7,7,7,7,7,7,7,没什么看法,没什么看法,3,,50,10,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,5,6,5,无
1771,49.93.209.97,,,,,,,,,2021-07-04 11:56:21,2021-07-04 12:05:25,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,4,3,4,4,7,7,7,7,7,7,7,无,无,3,,5,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,5,5,5,无
1772,122.96.33.65,,,,,,,,,2021-07-04 12:01:25,2021-07-04 12:05:47,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,8.0,8.0,1,3,3,3,2,3,3,2,2,6,7,7,7,7,7,7,挺好,挺好,3,,2,100,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,6,5,5,5,无
1773,49.93.17.173,,,,,,,,,2021-07-04 12:03:03,2021-07-04 12:06:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,1,1,1,2,2,3,3,3,6,6,6,6,6,6,6,无,无,3,,6,2,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,6,6,6,6,无
1774,223.104.148.240,,,,,,,,,2021-07-04 12:09:12,2021-07-04 12:12:34,Unknown Browser,iPhone iOS 14.5,1,,,,,,,10.0,10.0,10.0,1,1,3,3,2,4,7,2,3,7,7,7,7,7,7,7,无,无,3,,3,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,6,5,6,6,无
1775,122.96.40.102,,,,,,,,,2021-07-04 12:08:15,2021-07-04 12:15:21,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,4,6,4,4,7,7,7,7,7,7,7,无,无,3,,4,1,7,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,5,5,5,6,7,7,7,6,6,无
1776,49.93.146.209,,,,,,,,,2021-07-04 12:15:47,2021-07-04 12:20:02,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,3,3,1,7,3,4,6,7,7,7,7,7,7,无,无,3,,7,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,5,无
1777,223.104.158.58,,,,,,,,,2021-07-04 12:33:19,2021-07-04 12:35:01,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,4,1,3,3,3,1,4,6,6,6,6,6,6,6,没有没有,没有,3,,0,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,7,6,3,5,5,没必要
1778,49.93.115.22,,,,,,,,,2021-07-04 12:50:33,2021-07-04 12:53:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,6.0,6.0,1,3,1,1,4,1,6,4,4,7,7,7,7,7,7,7,好,清楚,6,,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,没建议
1779,39.144.151.34,,,,,,,,,2021-07-04 13:24:56,2021-07-04 13:28:44,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,3,4,4,4,6,4,4,7,7,7,7,7,7,7,无,无,3,,24,48,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,7,7,无
1780,39.144.151.110,,,,,,,,,2021-07-04 13:28:52,2021-07-04 13:33:36,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,6.0,7.0,1,1,2,1,3,3,3,4,4,5,6,7,6,5,5,6,无,无,3,,不知道,不知道,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,5,5,无
1781,223.104.187.66,,,,,,,,,2021-07-04 13:49:26,2021-07-04 13:57:38,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,7.0,8.0,1,3,2,1,2,4,6,4,4,7,7,7,7,7,7,7,为我们了解党和国家的发展提供了材料,希望多放点这样的视频让我们了解党和国家,4,,0.5,三,5,6,5,5,6,5,5,5,6,5,5,5,6,6,6,5,5,5,5,5,7,7,5,6,5,还是线下学习更好
1782,39.144.151.75,,,,,,,,,2021-07-04 13:53:40,2021-07-04 13:59:03,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,6.0,10.0,3,1,2,1,2,4,6,3,4,6,7,7,5,6,7,7,国家的强大与团结,没有任何看法,4,,12,10,6,5,5,4,6,5,7,6,6,6,6,5,5,5,6,6,5,5,6,5,7,6,5,6,6,没有意见
1783,122.96.47.88,,,,,,,,,2021-07-04 14:24:22,2021-07-04 14:27:02,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,9.0,9.0,8.0,1,1,2,1,3,1,2,1,4,6,7,7,7,7,7,7,无,无,4,,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,无
1784,49.93.211.74,,,,,,,,,2021-07-04 15:05:06,2021-07-04 15:07:37,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,9.0,10.0,1,1,2,1,2,4,6,4,4,6,7,6,6,6,6,6,无,无,3,,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,4,6,6,无
1785,117.136.95.143,,,,,,,,,2021-07-04 15:17:32,2021-07-04 15:21:19,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,8.0,7.0,1,2,2,1,2,3,6,4,4,7,7,7,7,7,7,7,没有,没有,4,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,7,3,5,5,没有
1786,112.96.225.167,,,,,,,,,2021-07-04 15:22:01,2021-07-04 15:25:42,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,9.0,9.0,9.0,1,1,3,4,1,3,3,4,4,7,7,7,7,7,7,7,无,无,4,,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,4,5,5,无
1787,223.104.68.20,,,,,,,,,2021-07-04 16:26:38,2021-07-04 16:29:19,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,3,3,1,2,4,7,3,3,7,6,7,7,7,7,7,无,无,5,,40,3,7,7,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,5,7,7,5,7,7,无
1788,112.97.59.34,,,,,,,,,2021-07-04 16:30:21,2021-07-04 16:31:31,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,8.0,8.0,1,3,3,1,3,2,6,4,4,7,7,7,7,7,7,7,挺好,挺好,6,,0,6,5,5,5,5,5,5,5,5,7,7,7,5,6,5,5,5,5,5,5,5,7,6,4,6,5,无
1789,223.104.64.128,,,,,,,,,2021-07-04 16:27:19,2021-07-04 16:32:23,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,7.0,7.0,7.0,1,2,2,1,2,4,3,3,4,7,6,7,7,7,7,7,很好,有意思,5,,3,5,6,5,5,6,5,5,5,6,7,5,6,6,6,6,6,6,6,5,6,5,6,7,7,6,6,很好
1790,112.97.81.189,,,,,,,,,2021-07-04 16:28:56,2021-07-04 16:38:32,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,8.0,8.0,1,1,2,4,2,3,3,3,3,6,6,6,6,6,6,7,非常好,有点无趣,4,,3,1,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,7,7,6,5,5,无
1791,120.229.91.60,,,,,,,,,2021-07-04 16:34:29,2021-07-04 16:42:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,9.0,8.0,3,3,4,3,2,4,6,3,4,6,6,6,6,6,6,6,无,无,4,,3,3,7,5,6,7,6,6,6,5,6,5,6,6,6,6,6,5,7,6,7,4,5,6,5,6,6,无
1792,112.97.57.182,,,,,,,,,2021-07-04 16:39:50,2021-07-04 16:43:42,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,3,3,1,2,1,6,4,4,6,6,6,6,6,6,6,好,好,3,,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,6,6,6,6,继续加油
1793,120.229.64.152,,,,,,,,,2021-07-04 16:35:25,2021-07-04 16:43:45,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,9.0,9.0,9.0,1,3,3,4,1,2,3,3,3,6,7,6,6,6,7,6,没有,没有,4,,22,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,5,6,6,多一些互动
1794,117.136.33.140,,,,,,,,,2021-07-04 16:43:12,2021-07-04 16:47:29,Unknown Browser,iPhone iOS 14.0.1,1,,,,,,,7.0,4.0,5.0,1,1,3,4,2,3,6,4,4,6,7,7,7,7,7,7,无,挺好的,3,,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
1795,120.229.91.80,,,,,,,,,2021-07-04 16:42:04,2021-07-04 16:48:32,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,6.0,5.0,7.0,1,1,2,1,2,4,6,3,3,7,7,7,7,7,7,7,无,无,3,,40,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,5,5,5,无
1796,14.150.15.119,,,,,,,,,2021-07-04 16:47:47,2021-07-04 16:53:22,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,9.0,9.0,1,1,2,1,1,2,7,4,4,7,7,7,7,7,7,7,挺好,可以多一点互动环节,4,,2,2,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,7,5,6,7,6,6,6,好
1797,113.88.116.218,,,,,,,,,2021-07-04 16:56:39,2021-07-04 16:59:35,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,8.0,8.0,8.0,1,3,3,1,4,4,3,3,3,6,5,6,6,6,6,6,没有,没有,6,,0,40,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,6,6,没有
1798,223.104.63.179,,,,,,,,,2021-07-04 16:58:38,2021-07-04 17:02:41,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,3,3,2,2,7,7,7,7,7,7,5,没,没,4,,20,10,5,5,5,5,5,7,6,5,5,7,7,4,5,5,5,6,6,6,5,5,7,7,4,5,5,无
1799,117.136.40.248,,,,,,,,,2021-07-04 16:58:55,2021-07-04 17:08:00,Unknown Browser,iPhone iOS 14.4,1,,,,,,,9.0,7.0,8.0,2,1,2,1,2,4,3,3,2,5,7,6,5,6,6,5,很好,喜欢,3,,0,0,4,6,4,4,4,7,7,4,4,7,5,5,5,5,5,5,5,5,5,5,6,7,5,5,5,无
