答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意？你不必说具体哪个，请告诉我您满意的主体数量（0-4）即可：钟南山院士高等院校非政府组织中央政府,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士国务院新闻发布会,Q13_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士纽约时报,Q14_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q14_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q14_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q14_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q14_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q15_请问你对上述视频有什么看法：,Q16_请问你对你平时上的思想政治课有什么看法：,Q17_你所在学校组织网课的最常见形式是什么？,Q17_你所在学校组织网课的最常见形式是什么？_开放选项,Q18_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q19_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q22_你上思想政治课的班级规模：,Q23_你对中央政府的工作有多满意？,Q24_你相信国务院新闻发布会发布的信息么？,Q25_你相信纽约时报发布的信息么？,Q26_你对老师在线授课的适应程度如何？,Q27_你对自己在线自主学习的适应程度如何？,Q28_你对学校组织的在线学习，有什么建议？
1178,117.136.80.101,,,,,,,,,2021-07-02 15:30:37,2021-07-02 15:32:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,1,1,1,5,3,2,7,7,7,7,7,7,7,没有,没有,3,,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,7,7,7,无
1179,39.144.147.64,,,,,,,,,2021-07-02 15:28:47,2021-07-02 15:32:14,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,7.0,7.0,1,3,2,1,2,4,6,4,4,4,6,6,6,6,6,6,6,无,无,4,,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,4,6,6,6,6,6,无
1180,117.136.80.8,,,,,,,,,2021-07-02 15:26:05,2021-07-02 15:32:26,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,6.0,6.0,6.0,1,3,3,1,2,1,3,3,3,3,5,5,5,5,5,5,5,没有,没有,4,,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,没有
1181,220.197.239.96,,,,,,,,,2021-07-02 15:25:16,2021-07-02 15:32:30,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,7.0,6.0,8.0,1,1,2,1,2,4,3,4,3,3,5,6,6,6,6,6,6,无,无,5,,40,20,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,5,无
1182,221.13.63.74,,,,,,,,,2021-07-02 15:22:33,2021-07-02 15:32:30,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,6.0,5.0,1,3,1,1,1,4,3,2,3,4,6,5,6,5,5,5,4,无,无,5,,40,120,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,5,5,5,5,没有建议
1183,223.104.96.27,,,,,,,,,2021-07-02 15:26:20,2021-07-02 15:33:18,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,10.0,1,1,1,1,4,3,6,5,5,4,7,7,7,6,7,7,7,无,还好,4,,1,1,6,4,4,5,6,4,5,6,6,6,6,6,6,6,6,5,5,5,5,6,7,7,4,6,6,没有
1184,223.104.130.119,,,,,,,,,2021-07-02 15:28:37,2021-07-02 15:35:04,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,1,2,1,1,3,6,5,5,3,6,7,7,6,7,7,6,没有,没有,4,,10,20,6,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,4,7,7,5,6,6,继续完善
1185,223.104.96.1,,,,,,,,,2021-07-02 15:30:37,2021-07-02 15:35:05,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,3,1,2,1,1,3,6,5,5,5,7,7,7,7,7,7,7,无,无,7,,18,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,无
1186,183.42.48.24,,,,,,,,,2021-07-02 15:28:17,2021-07-02 15:35:21,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,7.0,3,3,2,1,2,4,6,5,5,5,7,7,7,7,7,7,7,不错,知识全面,7,,48,14,5,5,5,5,5,5,6,6,6,5,6,5,4,5,5,6,5,5,5,5,7,7,6,6,5,更好调动学生积极性
1187,116.171.4.99,,,,,,,,,2021-07-02 15:29:50,2021-07-02 15:35:47,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,7.0,7.0,1,1,3,3,2,2,6,4,5,4,6,6,6,5,6,6,6,无,无,4,,1,1,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,7,6,6,6,无
1188,106.57.82.129,,,,,,,,,2021-07-02 15:30:04,2021-07-02 15:36:31,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,7.0,7.0,7.0,1,3,2,1,1,4,3,3,3,2,6,6,6,5,6,6,6,没有,没有,7,,2,3,5,5,5,6,4,5,4,6,6,4,5,6,5,5,5,5,6,6,5,5,5,7,6,6,6,没有
1189,221.13.63.130,,,,,,,,,2021-07-02 15:32:03,2021-07-02 15:38:01,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,10.0,10.0,10.0,1,2,1,4,4,4,6,5,5,5,7,7,7,7,7,7,7,非常好，没有任何意见,没有任何意见,4,,12,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,3,7,7,无
1190,117.136.80.90,,,,,,,,,2021-07-02 15:35:30,2021-07-02 15:38:20,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,2,2,1,2,1,6,1,2,2,5,4,4,4,4,4,4,没问题,没看法,8,,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,6,没有
1191,114.138.33.96,,,,,,,,,2021-07-02 15:35:58,2021-07-02 15:39:46,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,10.0,10.0,10.0,1,1,2,1,4,3,6,5,5,5,7,7,7,7,7,7,7,无,无,4,,10,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,7,7,伍无
1192,114.138.187.82,,,,,,,,,2021-07-02 15:36:19,2021-07-02 15:40:27,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,7.0,8.0,1,3,2,1,3,1,6,5,5,4,7,7,7,7,7,7,7,非常好,提高了我的政治意识,7,,20,30,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,5,5,5,非常好
1193,106.108.51.234,,,,,,,,,2021-07-02 15:36:25,2021-07-02 15:41:47,Unknown Browser,iPhone iOS 14.0.1,1,,,,,,,10.0,10.0,10.0,1,1,1,1,2,1,7,5,5,5,7,7,7,7,7,7,7,无,很好,7,,45,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,无
1194,114.138.168.76,,,,,,,,,2021-07-02 15:37:20,2021-07-02 15:42:29,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,8.0,8.0,1,1,1,1,3,3,3,5,5,4,6,7,7,5,6,6,7,没有看法,没有看法,7,,34,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,无
1195,106.57.65.86,,,,,,,,,2021-07-02 15:40:15,2021-07-02 15:45:51,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,1,2,1,3,4,6,4,4,5,6,7,7,6,6,6,6,非常好,很有必要,4,,2,1,6,6,6,6,6,6,6,5,6,5,5,5,5,5,6,6,6,6,6,4,6,7,5,6,6,很好
1196,114.138.51.86,,,,,,,,,2021-07-02 15:43:39,2021-07-02 15:46:28,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,7.0,7.0,1,3,3,3,1,1,1,3,1,1,6,6,6,6,6,6,6,无,无,7,,无,无,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,无
1197,39.129.223.86,,,,,,,,,2021-07-02 15:43:34,2021-07-02 15:46:34,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,8.0,8.0,1,1,2,1,3,1,1,3,3,2,6,6,7,7,7,7,7,很好,很好,5,,10,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,5,6,6,无
1198,223.104.97.182,,,,,,,,,2021-07-02 15:43:31,2021-07-02 15:46:37,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,9.0,9.0,9.0,1,1,1,4,3,3,6,5,5,5,7,7,7,7,7,7,7,无,无,8,1,1,1,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,4,5,5,无
1199,223.104.16.83,,,,,,,,,2021-07-02 15:45:31,2021-07-02 15:47:58,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,2,1,3,2,3,2,4,4,5,5,5,5,5,5,5,没有,没有，无聊,4,,138,138,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,没有
1200,106.57.92.25,,,,,,,,,2021-07-02 15:47:07,2021-07-02 15:50:17,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,8.0,8.0,8.0,1,1,2,1,4,4,7,5,5,4,5,6,6,6,6,6,6,没有,没有,3,,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,5,5,5,5,5,没有
1201,117.136.93.161,,,,,,,,,2021-07-02 15:45:28,2021-07-02 15:51:22,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,9.0,9.0,9.0,1,3,2,3,4,1,7,5,5,5,6,6,6,6,6,6,6,非常棒,非常棒,7,,40,20,5,5,5,4,6,5,5,6,5,5,6,5,5,5,5,5,5,5,5,4,6,7,6,6,6,规模化
1202,36.97.38.236,,,,,,,,,2021-07-02 15:50:41,2021-07-02 15:51:47,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,6.0,6.0,6.0,1,3,2,3,2,3,3,3,4,3,6,5,6,6,6,6,6,。。,。。,5,,1,1,6,5,5,5,6,5,5,5,5,6,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,。。
1203,221.13.63.128,,,,,,,,,2021-07-02 15:40:29,2021-07-02 15:53:25,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,7.0,10.0,1,3,3,1,2,1,3,5,5,5,7,7,7,7,7,7,7,无,无,4,,8,10,5,6,5,4,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,7,7,7,6,5,无
1204,106.61.83.64,,,,,,,,,2021-07-02 15:51:03,2021-07-02 15:56:27,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,3,2,3,1,2,7,5,5,5,7,7,7,7,7,7,7,没有,没有,5,,八小时,五小时,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,没有
1205,106.61.72.121,,,,,,,,,2021-07-02 15:52:13,2021-07-02 15:57:20,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,9.0,9.0,9.0,1,3,2,1,1,1,6,5,4,4,6,6,7,6,7,7,7,无,无,3,,30,38,6,6,6,6,6,6,6,5,6,6,6,6,7,6,6,6,6,5,5,5,6,6,6,6,7,无
1206,36.112.178.65,,,,,,,,,2021-07-02 15:58:06,2021-07-02 16:01:33,Unknown Browser,iPhone iOS 14.6,1,,,,,,,8.0,8.0,7.0,1,1,3,1,3,2,3,3,3,4,6,7,6,7,6,7,7,觉得非常不错,有点无聊,7,,20,25,5,4,4,3,5,6,7,6,6,4,5,5,6,6,6,4,4,6,6,4,7,7,7,6,6,无
1207,36.104.184.115,,,,,,,,,2021-07-02 16:00:28,2021-07-02 16:02:07,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,8.0,7.0,1,2,2,2,2,3,3,3,3,3,5,5,5,5,5,6,5,还不错,还不错,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,4,5,4,5,5,5,更新奇些
1208,114.135.26.191,,,,,,,,,2021-07-02 15:53:59,2021-07-02 16:05:03,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,9.0,10.0,10.0,1,4,2,1,2,1,6,5,5,4,7,7,7,7,7,7,7,加强了思想政治素养,老师讲的更加的生动有趣，以故事的形式让我们更加的感兴趣,5,,390,300,4,4,4,3,3,3,6,6,6,7,7,4,3,5,3,3,3,3,3,5,7,7,5,4,4,能把课课件做的更完美些
1209,223.104.238.160,,,,,,,,,2021-07-02 16:00:11,2021-07-02 16:06:53,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,1,1,3,4,6,5,5,5,7,7,7,7,7,7,7,我们要知道政治,思想政治在我眼里是一种无形的力量,5,,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,没有
1210,221.13.63.77,,,,,,,,,2021-07-02 16:02:11,2021-07-02 16:08:41,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,3,3,4,3,3,3,3,1,1,5,5,5,5,5,5,5,没有,有趣的上课方式,8,,20,20,5,3,4,4,5,5,7,7,4,5,5,6,6,4,6,5,6,5,6,6,5,5,5,5,5,没有
1211,180.130.2.235,,,,,,,,,2021-07-02 16:06:05,2021-07-02 16:09:07,Unknown Browser,iPhone iOS 14.6,1,,,,,,,9.0,9.0,9.0,1,3,3,2,3,3,3,3,4,3,6,7,7,7,7,7,6,很好,很好,5,,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,7,7,7,好
1212,39.144.147.81,,,,,,,,,2021-07-02 16:08:20,2021-07-02 16:12:20,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,6.0,6.0,1,3,1,4,3,4,3,4,4,3,5,4,4,4,4,5,5,很好,学习政治课可以让我们思想开放,7,,21,21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,6,6,6,5,5,没有
1213,139.215.13.69,,,,,,,,,2021-07-02 16:06:45,2021-07-02 16:13:18,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,7.0,8.0,1,3,3,1,3,2,3,5,5,5,6,7,7,7,7,7,7,我相信我们国家,没有,4,,5,4,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,7,7,7,没有
1214,117.136.80.63,,,,,,,,,2021-07-02 16:02:01,2021-07-02 16:14:41,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,5.0,7.0,1,3,2,1,2,4,3,5,5,3,7,7,7,5,7,7,7,一心向党,很有必要,4,,2小时,2小时,5,5,4,4,5,5,5,7,7,7,7,7,5,5,5,5,5,5,5,4,7,7,5,4,5,无
1215,116.171.4.33,,,,,,,,,2021-07-02 16:02:40,2021-07-02 16:15:12,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,2,3,2,4,3,5,4,4,7,7,7,7,6,6,6,简洁易懂，阐述明确,感觉还可以，但思政课原本全篇都是文字了，如果可以加入一定的历史或者传说故事，增加思政课的趣味性这样比较好一点,5,,30,5,6,6,4,3,5,5,7,6,6,6,6,5,5,5,5,5,5,5,5,5,7,7,6,6,4,无
1216,221.13.63.71,,,,,,,,,2021-07-02 16:08:34,2021-07-02 16:15:16,Chrome 70.0.3538.110,Android Linux 9,1,,,,,,,6.0,6.0,6.0,1,3,3,3,1,3,2,5,5,4,7,7,7,7,7,7,7,很好,可以了解国家大事以及历史，非常棒,3,,9,45,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,7,7,6,5,5,无
1217,106.61.209.216,,,,,,,,,2021-07-02 16:14:00,2021-07-02 16:16:30,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,9.0,1,3,1,4,4,1,3,5,2,2,5,5,5,5,5,5,5,非常好,非常好,3,,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,5,没有建议
1218,106.57.118.52,,,,,,,,,2021-07-02 16:14:20,2021-07-02 16:16:59,Chrome 78.0.3904.62,Android Linux 8.1.0,1,,,,,,,8.0,8.0,8.0,1,1,3,2,2,3,3,4,3,3,5,6,7,4,4,4,5,没有,没有,4,,50,0,4,4,6,5,4,5,5,4,6,4,4,7,4,4,6,7,4,7,5,5,7,7,5,7,6,没有
1219,117.136.80.51,,,,,,,,,2021-07-02 16:10:22,2021-07-02 16:22:48,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,5.0,4.0,5.0,3,3,2,1,2,1,6,5,3,4,6,6,6,6,6,6,6,无,无,7,,2,2,6,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,4,5,7,5,6,5,无
1220,139.214.251.106,,,,,,,,,2021-07-02 16:23:21,2021-07-02 16:26:17,Unknown Browser,iPhone iOS 13.6,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,3,3,5,5,5,7,7,7,7,7,7,7,没有,很好,4,,6,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,没有
1221,223.104.97.178,,,,,,,,,2021-07-02 16:21:02,2021-07-02 16:26:47,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,8.0,6.0,3,1,1,1,3,3,6,4,4,4,7,7,7,7,7,7,7,更好,可以提高我们的思想视野,4,,30,30,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,4,7,6,没有
1222,106.61.64.218,,,,,,,,,2021-07-02 16:27:03,2021-07-02 16:31:14,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,5.0,6.0,1,3,2,1,2,4,3,2,4,3,6,6,6,6,6,6,7,无,无,4,,2,2,5,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,6,6,6,无
1223,223.104.238.156,,,,,,,,,2021-07-02 16:29:31,2021-07-02 16:31:35,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,4,1,7,2,5,5,7,7,7,6,7,7,7,没有,还行,3,,6,2,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,6,7,7,7,7,没有
1224,117.136.80.106,,,,,,,,,2021-07-02 16:25:22,2021-07-02 16:33:19,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,6.0,6.0,7.0,1,3,2,1,3,3,6,4,4,4,6,6,6,6,6,6,6,教学内容有趣精彩,基本没有,5,,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,基本没有
1225,36.104.127.109,,,,,,,,,2021-07-02 16:32:32,2021-07-02 16:35:18,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,3,6,5,5,5,7,7,7,7,7,7,7,无,好,4,,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
1226,39.144.147.79,,,,,,,,,2021-07-02 16:36:00,2021-07-02 16:38:43,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,2,1,1,3,3,5,5,5,7,7,7,7,7,7,7,无,无,4,,2,90,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,3,7,7,无
1227,139.214.246.126,,,,,,,,,2021-07-02 16:37:45,2021-07-02 16:43:59,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,4,2,1,4,3,7,5,3,2,7,7,7,7,7,7,7,很好，讲的挺不错,重新学习了一遍思政课,4,,15,15,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,6,6,6,6,4,7,7,4,6,5,希望统一软件
1228,106.61.19.26,,,,,,,,,2021-07-02 16:42:43,2021-07-02 16:45:34,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,3,2,1,2,2,3,3,4,5,6,6,7,6,6,6,6,无,无,7,,10,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,7,6,6,5,无
1229,223.104.238.128,,,,,,,,,2021-07-02 16:40:09,2021-07-02 16:45:35,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,8.0,7.0,1,3,2,1,1,1,3,5,3,3,7,7,7,6,7,7,7,无,参加上课新颖性,7,,24,24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,5,5,5,无
1230,117.136.80.112,,,,,,,,,2021-07-02 16:42:24,2021-07-02 16:46:57,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,8.0,7.0,1,1,2,1,1,1,3,5,4,4,6,7,7,6,5,5,6,没什么看法,很好，所以没什么看法,4,,12,10,5,6,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,4,6,7,5,5,4,暂时没有
1231,117.136.6.65,,,,,,,,,2021-07-02 16:45:50,2021-07-02 16:48:23,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,2,1,3,5,1,1,3,4,5,7,5,4,3,有感触,有感触,3,,40分钟,40分钟,3,3,3,3,3,4,5,5,5,6,4,4,4,4,4,5,5,5,5,4,5,5,5,4,4,没有
1232,14.204.0.131,,,,,,,,,2021-07-02 16:47:10,2021-07-02 16:51:42,Chrome 77.0.3865.120,Android Linux 8.0.0,1,,,,,,,8.0,8.0,8.0,1,3,2,1,1,2,3,2,2,2,6,5,5,5,5,5,5,没什么想法,没什么看法,6,,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,很好
1233,223.104.238.208,,,,,,,,,2021-07-02 16:46:28,2021-07-02 16:54:13,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,1,3,1,3,2,3,5,5,5,6,6,7,6,6,5,5,非常好,很棒,3,,2,6,6,5,5,5,5,6,6,5,5,5,5,6,6,6,6,6,5,5,5,6,6,6,5,5,5,没有
1234,117.136.80.139,,,,,,,,,2021-07-02 16:50:45,2021-07-02 16:55:47,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,7.0,7.0,1,3,2,1,2,4,7,4,5,4,6,7,7,7,7,7,7,暂无,暂无,4,,12,24,5,5,5,5,6,6,6,6,7,6,6,6,6,5,5,5,6,6,6,6,7,7,6,6,6,暂无
1235,117.136.71.185,,,,,,,,,2021-07-02 16:52:14,2021-07-02 16:55:50,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,9.0,10.0,1,1,3,1,2,1,6,5,4,4,7,7,7,7,7,7,7,没有,没有,3,,12－36,12－36,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,7,7,没有
1236,220.197.236.148,,,,,,,,,2021-07-02 16:51:35,2021-07-02 16:57:10,Chrome 83.0.4103.106,Android Linux 11,1,,,,,,,9.0,9.0,9.0,1,1,2,1,2,4,7,4,5,4,6,7,7,6,7,7,7,暂无,暂无,3,,3,12,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,6,6,暂无
1237,117.136.71.147,,,,,,,,,2021-07-02 16:54:46,2021-07-02 16:58:00,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,9.0,9.0,9.0,1,3,2,1,3,1,7,5,5,5,6,6,6,7,6,6,6,无,无,4,,50,48,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,6,6,7,无
1238,61.243.45.250,,,,,,,,,2021-07-02 16:50:10,2021-07-02 16:58:47,Unknown Browser,iPhone iOS 14.6,1,,,,,,,8.0,5.0,10.0,3,3,2,1,2,4,7,4,5,5,6,7,7,4,4,4,7,了解关于党的会议更加深入,无,3,,2,1,5,4,5,3,3,5,4,7,7,7,6,6,6,6,5,5,5,5,6,5,7,7,6,5,3,无
